PassengerId,Survived
279,1
784,0
636,1
441,1
631,1
296,1
610,1
236,0
549,1
24,1
98,0
756,1
585,0
534,0
56,1
561,0
583,1
537,1
237,1
413,1
677,0
381,1
314,0
813,1
458,1
472,0
816,0
297,0
621,0
586,1
361,1
90,0
865,1
364,0
126,1
732,0
619,1
393,0
540,1
595,1
185,1
559,1
863,1
205,0
433,1
556,1
225,1
432,0
591,0
319,1
555,0
606,0
232,1
7,1
801,1
779,0
312,1
299,1
290,1
831,0
416,0
548,1
92,1
581,1
305,0
39,1
694,0
89,0
367,1
355,0
808,0
274,1
554,0
825,0
563,1
573,1
291,1
397,1
747,1
384,1
52,1
118,0
395,1
376,1
781,0
91,0
695,1
857,1
711,1
143,1
142,1
219,1
146,0
234,1
172,1
557,1
190,0
79,0
566,0
280,1
741,1
137,0
21,1
766,1
476,1
838,0
428,1
223,0
643,0
372,0
99,0
605,1
352,1
374,1
43,0
588,1
67,1
152,0
762,0
440,1
815,0
184,0
12,1
82,0
442,0
270,1
867,1
58,1
680,1
702,1
175,0
3,0
50,1
5,0
336,0
836,1
169,0
700,0
770,0
799,0
641,0
577,1
400,1
341,1
332,1
368,0
72,1
328,1
271,1
183,1
542,0
10,1
674,1
489,0
222,1
331,1
644,1
471,0
264,0
211,0
670,1
659,1
119,0
520,0
419,1
112,1
390,1
576,0
216,1
36,1
630,0
856,1
885,0
403,0
113,0
768,0
806,0
735,1
181,1
